date,기후스트레스:서울특별시,기후스트레스:경기도,기후스트레스:강원도,기후스트레스:경상남도,기후스트레스:경상북도,기후스트레스:광주광역시,기후스트레스:대구광역시,기후스트레스:대전광역시,기후스트레스:부산광역시,기후스트레스:세종특별자치시,기후스트레스:울산광역시,기후스트레스:인천광역시,기후스트레스:전라남도,기후스트레스:전라북도,기후스트레스:제주도,기후스트레스:충청남도,기후스트레스:충청북도,사회스트레스:서울특별시,사회스트레스:부산광역시,사회스트레스:대구광역시,사회스트레스:인천광역시,사회스트레스:광주광역시,사회스트레스:대전광역시,사회스트레스:울산광역시,사회스트레스:세종특별자치시,사회스트레스:경기도,사회스트레스:강원도,사회스트레스:충청북도,사회스트레스:충청남도,사회스트레스:전라북도,사회스트레스:전라남도,사회스트레스:경상북도,사회스트레스:경상남도,사회스트레스:제주도,neg_emotion_lag1,social_conflict_lag3,social_conflict_lag6,금융스트레스
2015-01-01,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0.380660384,0.636164236,0.8,0.2,0.429142842,0.499330136,0.24200412,0.2,0.402838107,0.580829707,0.436442018,0.413526384,0.435706865,0.213510314,0.400230468,0.53196918,0.27041182,,,,1
2015-01-02,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0.381854612,0.636570521,0.797744104,0.201140494,0.429548672,0.498897785,0.242332095,0.200966244,0.390321763,0.579592476,0.436465804,0.41320063,0.435761662,0.213550504,0.399718064,0.530813441,0.271210233,,,,1
2015-01-03,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0.383048817,0.63697679,0.795488237,0.202280976,0.429954492,0.498465433,0.242660065,0.201932475,0.38572038,0.578355256,0.436489596,0.412874875,0.435816452,0.213590697,0.399205666,0.529657715,0.272008628,,,,1
2015-01-04,2,2,0,0,0,2,0,1,1,1,0,1,1,2,0,1,2,0.384242979,0.637383026,0.793232426,0.203421431,0.430360291,0.498033079,0.242988026,0.202898681,0.381132027,0.57711806,0.436513398,0.412549121,0.435871225,0.213630898,0.398693283,0.528502015,0.272806986,,,,1
2015-01-05,1,1,0,1,0,1,1,1,0,1,0,1,1,1,1,1,1,0.385437077,0.637789213,0.790976701,0.204561848,0.430766059,0.497600723,0.243315975,0.203864849,0.400106443,0.5758809,0.436537215,0.412223368,0.435925976,0.213671108,0.39818092,0.527346353,0.27360529,,,,2.5
2015-01-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.386631087,0.638195334,0.788721089,0.205702214,0.431171785,0.497168362,0.243643906,0.204830967,0.399423611,0.574643786,0.436561053,0.411897616,0.435980695,0.213711333,0.397668586,0.526190742,0.27440352,,,,1.5
2015-01-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.38782499,0.638601373,0.78646562,0.206842514,0.43157746,0.496735997,0.243971816,0.205797022,0.387004987,0.573406732,0.436584917,0.411571865,0.436035376,0.213751576,0.397156287,0.525035196,0.275201659,,,,0
2015-01-08,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0.389018762,0.639007314,0.78421032,0.207982738,0.431983073,0.496303627,0.2442997,0.206763002,0.382436337,0.572169748,0.436608812,0.411246115,0.43609001,0.21379184,0.39664403,0.523879727,0.275999688,,,,1
2015-01-09,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,1,0.390212383,0.63941314,0.78195522,0.209122871,0.432388614,0.49587125,0.244627554,0.207728893,0.377880766,0.570932846,0.436632742,0.410920367,0.43614459,0.213832128,0.396131822,0.522724348,0.27679759,,,,0
2015-01-10,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0.391405831,0.639818835,0.779700346,0.210262901,0.432794073,0.495438865,0.244955373,0.208694684,0.377230727,0.569696039,0.436656714,0.41059462,0.436199107,0.213872445,0.39561967,0.521569071,0.277595345,,,,1
2015-01-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.392599084,0.640224383,0.777445728,0.211402814,0.433199438,0.495006472,0.245283153,0.209660362,0.376580784,0.568459338,0.436680732,0.410268875,0.436253555,0.213912793,0.395107582,0.520413911,0.278392936,,,,1
2015-01-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.39379212,0.640629767,0.775191394,0.212542599,0.4336047,0.49457407,0.24561089,0.210625914,0.375930948,0.567222755,0.436704801,0.409943133,0.436307926,0.213953176,0.394595564,0.519258878,0.279190345,,,,1.5
2015-01-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.394984918,0.64103497,0.772937373,0.213682241,0.434009848,0.494141658,0.24593858,0.211591327,0.375281229,0.565986301,0.436728927,0.409617393,0.436362211,0.213993599,0.394083623,0.518103988,0.279987552,,,,2.5
2015-01-14,0,0,0,1,0,0,0,1,1,1,1,0,1,1,1,0,0,0.396177456,0.641439977,0.770683692,0.214821729,0.434414873,0.493709234,0.246266218,0.21255659,0.374631637,0.564749988,0.436753114,0.409291656,0.436416403,0.214034063,0.393571767,0.516949251,0.28078454,,,,3.5
2015-01-15,0,0,1,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0.397369713,0.641844771,0.76843038,0.215961049,0.434819763,0.493276798,0.2465938,0.213521688,0.373982185,0.563513829,0.436777369,0.408965921,0.436470494,0.214074574,0.393060002,0.515794681,0.281581291,,,,0
2015-01-16,1,1,1,0,0,1,0,1,0,1,0,0,1,1,1,1,1,0.398561667,0.642249335,0.766177466,0.217100188,0.435224509,0.492844349,0.246921321,0.214486611,0.373332882,0.562277835,0.436801695,0.40864019,0.436524477,0.214115133,0.392548335,0.514640291,0.282377786,,,,3.5
